section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,29,1690309156712268117,1690309156776281117,64,176.64,477.85,-29.207210560675865,3.650330800129873
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,30,1690309156968285117,1690309158488312117,1520,258.848,435.491,-23.074766801812167,6.803232241875538
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,31,1690309158788332117,1690309158860443117,72,685.935,1006.917,10.571195869575822,-35.87013847615143
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,32,1690309158896266117,1690309159232249117,335,597.313,957.593,2.7611820458315113,-32.261113689979815
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,33,1690309159300401117,1690309159652316117,351,685.08,866.389,9.692010323868063,-25.266319252069334
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,34,1690309159888257117,1690309160316302117,428,342.165,414.133,-16.823312705199022,8.467892331301428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,35,1690309160388265117,1690309160732340117,344,168.978,490.394,-29.769211071981132,2.7431280973205174
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,36,1690309160768287117,1690309160896364117,128,238.86,588.521,-24.514060585379806,-4.369516094359974
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,37,1690309160928262117,1690309162140302117,1212,279.237,590.466,-21.47153695817821,-4.542917649798763
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,38,1690309162568267117,1690309162676259117,107,320.811,556.002,-18.30837420294561,-2.02814667173419
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,39,1690309162728285117,1690309163216309117,488,207.314,451.998,-26.935616040893304,5.5448576015943285
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,40,1690309163252312117,1690309163612480117,360,185.12,493.051,-28.542792586454567,2.5604247906864694
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,41,1690309163788268117,1690309164048474117,260,221.332,454.559,-25.868328750303178,5.373516103431492
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,42,1690309164076411117,1690309164272396117,195,227.794,509.691,-25.304545828930546,1.3709566699538118
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,43,1690309164536280117,1690309164816259117,279,406.673,542.053,-11.85490880189504,-1.009329135633158
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,44,1690309164872294117,1690309165180299117,308,229.515,515.712,-25.17193963103072,0.9334720554755087
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,45,1690309165308294117,1690309166076304117,768,243.583,461.522,-24.172002214214746,4.887226372670159
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,46,1690309166236296117,1690309166852311117,616,225.319,467.442,-25.540995685944303,4.441096140575236
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,47,1690309166900332117,1690309167236295117,335,369.561,557.481,-14.646538792499056,-2.150963304800847
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,48,1690309167408394117,1690309167576273117,167,242.734,475.015,-24.213509602517846,3.9027325057970974
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,49,1690309167800317117,1690309167888307117,87,260.202,488.237,-22.879599503926034,2.9472700331510246
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,50,1690309167932289117,1690309168356301117,424,316.281,543.586,-18.64343301163027,-1.110954802538588
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,51,1690309168572288117,1690309168708342117,136,123.745,513.73,-33.184688309689015,1.0566103308717705
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,52,1690309168752296117,1690309169180352117,428,99.586,415.605,-35.285749544069326,7.991376784515002
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,53,1690309169352293117,1690309169500342117,148,484.32,512.466,-6.025732271602691,1.2023016929356967
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,54,1690309169520353117,1690309169868291117,347,440.587,557.94,-9.312309607607608,-2.1998951762407004
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,55,1690309170108254117,1690309170752297117,644,400.286,565.93,-12.34271652193397,-2.7874438181112273
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,56,1690309170976259117,1690309171144309117,168,371.766,535.868,-14.47465740593597,-0.5460551517387453
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,57,1690309171180357117,1690309173920291117,2739,296.778,466.78,-20.15123532434293,4.542460313433821
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,58,1690309174108374117,1690309175100312117,991,285.771,462.652,-20.987002874722606,4.8380715580530484
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,59,1690309175168264117,1690309175396298117,228,115.258,564.493,-33.851137002074125,-2.5489597122262406
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,60,1690309175512355117,1690309176256309117,743,331.59,370.545,-17.745568347980797,11.67875380721038
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,61,1690309176384259117,1690309177476352117,1092,309.617,438.605,-19.23136862171183,6.6274454515138
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,62,1690309177616295117,1690309177876299117,260,403.327,449.448,-12.14860959829697,5.892498563488003
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,63,1690309178036331117,1690309179052416117,1016,385.52,480.81,-13.459499568194778,3.5491670651099843
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,64,1690309179260369117,1690309180112322117,851,340.581,478.213,-16.840615442114274,3.7234463274441323
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,65,1690309180308272117,1690309180500331117,192,362.519,480.2,-15.189163878794988,3.585702207294199
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,66,1690309180688273117,1690309182532338117,1844,336.819,486.285,-17.11627255305936,3.1245578825289653
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,67,1690309182716325117,1690309184176295117,1459,331.477,489.853,-17.514959746559178,2.8586599294308774
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,68,1690309184372312117,1690309185036284117,663,330.827,485.859,-17.567135439101854,3.153672217980598
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,69,1690309185236270117,1690309186244234117,1007,288.6,423.564,-20.85368288435443,7.712032367790881
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,70,1690309186832313117,1690309187016319117,184,158.679,267.359,-31.78732915178437,18.730271124924727
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,71,1690309187524281117,1690309188468267117,943,190.437,341.386,-28.70029811610661,13.5113978291917
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,72,1690309188500273117,1690309188692374117,192,204.25,426.685,-27.238720777072217,7.373932573277895
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,73,1690309188828282117,1690309192168284117,3340,446.525,504.253,-8.8652283325972,1.814099887588885
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,74,1690309192332301117,1690309193400445117,1068,396.085,565.377,-12.65800086227562,-2.745147446685843
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,75,1690309193444264117,1690309193664393117,220,493.985,515.323,-5.299677510377881,0.9885781226336545
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,76,1690309193824263117,1690309194116328117,292,498.207,507.73,-4.983444654713403,1.5581316900164592
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,77,1690309194168287117,1690309195444277117,1275,411.19,542.017,-11.515788129170451,-1.0071116271254135
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,78,1690309195616292117,1690309196568291117,951,484.404,564.546,-6.0227282688962855,-2.7009608391108206
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,79,1690309196768321117,1690309198012369117,1244,476.165,564.143,-6.641656995383368,-2.6696256080968954
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,80,1690309198060394117,1690309198744250117,683,539.679,482.408,-1.8707050244957413,3.460943378041686
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,81,1690309198944294117,1690309199032299117,88,507.693,467.55,-4.279145779735464,4.5730433232206815
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,82,1690309199056309117,1690309199848281117,791,485.451,418.567,-5.981251575718456,8.240633456121278
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,83,1690309200020287117,1690309200180301117,160,501.623,463.788,-4.737086410655424,4.854281932319465
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,84,1690309200388266117,1690309201232296117,844,472.29,461.119,-6.946030659004139,5.0478325428039765
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,85,1690309201272272117,1690309203792300117,2520,383.559,530.947,-13.58900483890094,-0.18078507180410192
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,86,1690309203952278117,1690309206192297117,2240,441.889,471.652,-9.227390446776456,4.250926147930486
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,87,1690309206392280117,1690309208992330117,2600,441.858,470.56,-9.230399026439096,4.332528188075963
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,88,1690309209192277117,1690309210132349117,940,448.458,465.64,-8.736931363726814,4.702526597610298
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,89,1690309210536404117,1690309210684290117,147,639.749,960.565,6.350802839352683,-32.441973243513786
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,90,1690309210716371117,1690309211264533117,548,652.358,889.0,7.133875120956157,-27.01784443263514
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,91,1690309211300263117,1690309212596277117,1296,636.219,875.906,5.787282584749812,-26.052513529366646
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,92,1690309213056497117,1690309214388309117,1331,308.815,464.13,-19.24832499874081,4.7456437899485735
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,93,1690309214764345117,1690309214980292117,215,565.057,890.375,0.039847380632172275,-27.183625583797323
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,94,1690309215020255117,1690309215400314117,380,577.015,820.967,0.9833624486986995,-21.955948961450005
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,95,1690309215636290117,1690309217340307117,1704,342.098,456.455,-16.752071235857006,5.334866961051227
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,96,1690309217488306117,1690309218496311117,1008,291.685,444.293,-20.573720863344985,6.191937349058227
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,97,1690309218700481117,1690309219588302117,887,284.107,454.852,-21.1256463473624,5.409521796809119
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,98,1690309219728272117,1690309219944377117,216,318.176,427.991,-18.606903074077962,7.418606058652144
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,99,1690309220316324117,1690309220472374117,156,570.214,1019.268,0.49607959880483554,-36.97832814266004
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,100,1690309220512291117,1690309221672263117,1159,641.425,872.699,6.19883359024118,-25.805257865939673
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,101,1690309221700301117,1690309222176397117,476,696.892,802.909,10.384215978998004,-20.493857627680043
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,102,1690309222528279117,1690309222588277117,59,306.898,472.838,-19.38109237734216,4.102826043498261
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,103,1690309222628261117,1690309223180311117,552,394.513,510.366,-12.769137407340995,1.351418902864148
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,104,1690309223348311117,1690309225260297117,1911,374.605,553.704,-14.26605953097487,-1.8715436662730194
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,105,1690309225468304117,1690309225604397117,136,285.811,555.592,-20.939690588539627,-1.9870787097437812
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,106,1690309225636347117,1690309226352319117,715,121.913,586.833,-33.382756147379084,-4.1414309229096204
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,107,1690309226540340117,1690309228196328117,1655,795.951,834.761,18.367513301826193,-22.637720594064
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,108,1690309228436280117,1690309229076283117,640,289.96,451.598,-20.689955689839625,5.65352016499395
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,109,1690309229380436117,1690309230016272117,635,658.317,889.655,7.6203875205261955,-27.058546521696396
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,110,1690309230340310117,1690309231340248117,999,305.154,498.836,-19.48748437163392,2.1868787123647984
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,111,1690309231536282117,1690309232696304117,1160,318.511,503.454,-18.480546977179237,1.8501214245527993
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,112,1690309232928280117,1690309234204398117,1276,315.646,496.253,-18.700404421686848,2.380587309948588
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,113,1690309234360351117,1690309235220293117,859,332.423,484.962,-17.447889981439427,3.220606614412182
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,114,1690309235388307117,1690309235876288117,487,329.26,491.549,-17.6803442819431,2.732524430830852
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,115,1690309236064305117,1690309236800299117,735,325.319,484.461,-17.982518355352354,3.2546568354221153
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,116,1690309236960400117,1690309238060369117,1099,323.035,481.32,-18.157341136315456,3.485649535404813
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,117,1690309238252285117,1690309239764543117,1512,321.967,482.078,-18.236898903286228,3.4291487927899
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,118,1690309240000341117,1690309241700410117,1700,314.056,474.425,-18.84032879680323,3.9898841434677155
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,119,1690309241920311117,1690309242748279117,827,327.789,483.667,-17.797537874617,3.314407679195614
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,120,1690309242856343117,1690309243384285117,527,751.296,573.335,14.034188024974224,-3.33127405764559
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,121,1690309243444295117,1690309244292257117,847,525.07,593.524,-2.9722780670068887,-4.8795723236174835
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,122,1690309244488272117,1690309244816269117,327,317.516,494.916,-18.560709164732714,2.4798534397940255
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,123,1690309244868304117,1690309245820329117,952,526.522,591.829,-2.8626449141321615,-4.752529888508328
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,124,1690309245880283117,1690309246260506117,380,311.405,490.614,-19.02356898295569,2.7949141838612075
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,125,1690309246360284117,1690309246736272117,375,757.658,612.534,14.553606263529026,-6.240030005345607
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,126,1690309246896328117,1690309247720284117,823,308.997,488.265,-19.20672480485474,2.9671194655643536
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,127,1690309247744294117,1690309248972271117,1227,272.526,527.071,-21.93061151064609,0.10730084159974644
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,128,1690309249068343117,1690309249360281117,291,272.316,548.822,-21.951163890141167,-1.4865469975191614
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,129,1690309249660321117,1690309249760282117,99,654.476,1031.301,7.975915201178459,-37.807976582284
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,130,1690309249872353117,1690309249940366117,68,589.222,871.012,1.9871536068708942,-25.718768586366316
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,131,1690309249972418117,1690309250088413117,115,587.89,789.795,1.8227413381955926,-19.611404148747628
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,132,1690309250116274117,1690309250700318117,584,643.931,743.758,6.12049977385594,-16.127881507550455
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,133,1690309250728336117,1690309251124272117,395,667.603,728.218,7.915427172973385,-14.944648265893449
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,134,1690309251160283117,1690309252308284117,1148,611.934,783.662,3.6944885885497714,-19.14121984049794
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,135,1690309252340299117,1690309252512277117,171,686.622,856.056,9.772707187695378,-24.48880692231656
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,136,1690309252548319117,1690309253388273117,839,611.748,841.641,3.7559529974579586,-23.49630107917965
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,137,1690309253408283117,1690309254468285117,1060,644.999,856.072,6.440462821445637,-24.55094924413841
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,138,1690309254500287117,1690309254720308117,220,741.928,804.523,13.925395346755199,-20.530897515489855
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,139,1690309254772333117,1690309255212347117,440,630.476,904.409,5.39640172735899,-28.206577266950305
